gene_id	seqnames	start	end	width	strand
ENSG00000000003	chrX	100627109	100639991	12883	-
ENSG00000000005	chrX	100584802	100599885	15084	+
ENSG00000000419	chr20	50934867	50958555	23689	-
ENSG00000000457	chr1	169849631	169894267	44637	-
ENSG00000000460	chr1	169662007	169854080	192074	+
ENSG00000000938	chr1	27612064	27635277	23214	-
ENSG00000000971	chr1	196651878	196747504	95627	+
ENSG00000001036	chr6	143494811	143511690	16880	-
ENSG00000001084	chr6	53497341	53616970	119630	-
ENSG00000001167	chr6	41072945	41099976	27032	+
ENSG00000001460	chr1	24356999	24416934	59936	-
ENSG00000001461	chr1	24415794	24472976	57183	+
ENSG00000001497	chrX	65512582	65534775	22194	-
ENSG00000001561	chr6	46129993	46146699	16707	+
ENSG00000001617	chr3	50155045	50189075	34031	+
ENSG00000001626	chr7	117465784	117715971	250188	+
ENSG00000001629	chr7	92246234	92401384	155151	+
ENSG00000001630	chr7	92112151	92142952	30802	-
ENSG00000001631	chr7	92198969	92246166	47198	-
ENSG00000002016	chr12	912077	990053	77977	-
ENSG00000002079	chr7	99238794	99311130	72337	+
ENSG00000002330	chr11	64269830	64284704	14875	-
ENSG00000002549	chr4	17577192	17607972	30781	+
ENSG00000002586	chrX	2691179	2741309	50131	+
ENSG00000002587	chr4	11393150	11429765	36616	-
ENSG00000002726	chr7	150824627	150861504	36878	+
ENSG00000002745	chr7	121325367	121341104	15738	+
ENSG00000002746	chr7	43112599	43566001	453403	+
ENSG00000002822	chr7	1815793	2233243	417451	-
ENSG00000002834	chr17	38869859	38921770	51912	+
ENSG00000002919	chr17	48103357	48123074	19718	+
ENSG00000002933	chr7	150800403	150805120	4718	+
ENSG00000003056	chr12	8940363	8949955	9593	-
ENSG00000003096	chrX	117897813	118117340	219528	-
ENSG00000003137	chr2	72129238	72148038	18801	-
ENSG00000003147	chr7	8113184	8262687	149504	-
ENSG00000003249	chr16	90004865	90020128	15264	-
ENSG00000003393	chr2	201700554	201781189	80636	-
ENSG00000003400	chr2	201182881	201229406	46526	+
ENSG00000003402	chr2	201116104	201176687	60584	+
ENSG00000003436	chr2	187464230	187565760	101531	-
ENSG00000003509	chr2	37231631	37253403	21773	+
ENSG00000003756	chr3	50088908	50119021	30114	+
ENSG00000003987	chr8	17298030	17413528	115499	-
ENSG00000003989	chr8	17497088	17570573	73486	+
ENSG00000004059	chr7	127588345	127591705	3361	+
ENSG00000004139	chr17	28364356	28404049	39694	+
ENSG00000004142	chr17	28347177	28357522	10346	-
ENSG00000004399	chr3	129555175	129606818	51644	-
ENSG00000004455	chr1	33007940	33080996	73057	-
ENSG00000004468	chr4	15778275	15853230	74956	+
ENSG00000004478	chr12	2794953	2805423	10471	+
ENSG00000004487	chr1	23019448	23083689	64242	+
ENSG00000004534	chr3	49940007	50100045	160039	+
ENSG00000004660	chr17	3860315	3894891	34577	-
ENSG00000004700	chr12	21468911	21501669	32759	-
ENSG00000004766	chr7	93232340	93361121	128782	+
ENSG00000004776	chr19	35754568	35758079	3512	-
ENSG00000004777	chr19	35774532	35788822	14291	+
ENSG00000004779	chr16	23581002	23596356	15355	-
ENSG00000004799	chr7	95583499	95596491	12993	-
ENSG00000004809	chr6	110424687	110476641	51955	-
ENSG00000004838	chr3	50341110	50346852	5743	-
ENSG00000004846	chr7	20615207	20777038	161832	+
ENSG00000004848	chrX	25003694	25016420	12727	-
ENSG00000004864	chr7	96120220	96322147	201928	-
ENSG00000004866	chr7	116953238	117230103	276866	+
ENSG00000004897	chr17	47117703	47189422	71720	-
ENSG00000004939	chr17	44248385	44268141	19757	-
ENSG00000004948	chr7	93424487	93574730	150244	-
ENSG00000004961	chrX	11111301	11123078	11778	+
ENSG00000004975	chr17	7225341	7234545	9205	-
ENSG00000005001	chr16	2852727	2858170	5444	-
ENSG00000005007	chr19	18831938	18868236	36299	+
ENSG00000005020	chr7	26667062	26995239	328178	-
ENSG00000005022	chrX	119468400	119471319	2920	+
ENSG00000005059	chr4	109560205	109688726	128522	+
ENSG00000005073	chr7	27181510	27185223	3714	-
ENSG00000005075	chr7	102473118	102478907	5790	-
ENSG00000005100	chr17	5440912	5469060	28149	-
ENSG00000005102	chr17	43640388	43661954	21567	-
ENSG00000005108	chr7	11370357	11832198	461842	-
ENSG00000005156	chr17	34980494	35009743	29250	+
ENSG00000005175	chr12	47661249	47706061	44813	-
ENSG00000005187	chr16	20610243	20797581	187339	+
ENSG00000005189	chr16	20806429	20849668	43240	+
ENSG00000005194	chr16	57428169	57447528	19360	-
ENSG00000005206	chr19	2328615	2354806	26192	+
ENSG00000005238	chr9	35104112	35116341	12230	-
ENSG00000005243	chr17	48026167	48038030	11864	-
ENSG00000005249	chr7	107044649	107161811	117163	+
ENSG00000005302	chrX	11758159	11775753	17595	+
ENSG00000005339	chr16	3725054	3880726	155673	-
ENSG00000005379	chr17	58301228	58328760	27533	-
ENSG00000005381	chr17	58269856	58280935	11080	-
ENSG00000005421	chr7	95297676	95324707	27032	-
ENSG00000005436	chr2	75652000	75710989	58990	-
ENSG00000005448	chr2	74421678	74425755	4078	+
ENSG00000005469	chr7	87345681	87399795	54115	+
ENSG00000005471	chr7	87401697	87480435	78739	-
ENSG00000005483	chr7	105014179	105114361	100183	+
ENSG00000005486	chr7	75842602	75888926	46325	+
ENSG00000005513	chr16	981808	986979	5172	+
ENSG00000005700	chr6	82169983	82247754	77772	-
ENSG00000005801	chr11	3339261	3379222	39962	-
ENSG00000005810	chr13	77044655	77327050	282396	-
ENSG00000005812	chr13	76992598	77027195	34598	-
ENSG00000005844	chr16	30472658	30523185	50528	+
ENSG00000005882	chr17	50094737	50112152	17416	+
ENSG00000005884	chr17	50055968	50090481	34514	+
ENSG00000005889	chrX	24149173	24216255	67083	+
ENSG00000005893	chrX	120427827	120469365	41539	-
ENSG00000005961	chr17	44372180	44389505	17326	-
ENSG00000005981	chr7	95478444	95540232	61789	+
ENSG00000006007	chr16	19501689	19522145	20457	-
ENSG00000006015	chr19	18588685	18592336	3652	+
ENSG00000006016	chr19	18572220	18607741	35522	-
ENSG00000006025	chr17	47807372	47821834	14463	-
ENSG00000006042	chr17	32927910	32945106	17197	+
ENSG00000006047	chr17	7288252	7294615	6364	-
ENSG00000006059	chr17	41346092	41350812	4721	-
ENSG00000006062	chr17	45263121	45317040	53920	-
ENSG00000006071	chr11	17392885	17476845	83961	-
ENSG00000006116	chr16	24255553	24362801	107249	+
ENSG00000006118	chr11	60924463	60937159	12697	+
ENSG00000006125	chr17	35578046	35726409	148364	+
ENSG00000006128	chr7	97731908	97740472	8565	+
ENSG00000006194	chr16	3263800	3301401	37602	+
ENSG00000006210	chr16	57372458	57385048	12591	+
ENSG00000006282	chr17	50543058	50555852	12795	+
ENSG00000006283	chr17	50561068	50627474	66407	+
ENSG00000006327	chr16	3018445	3022383	3939	+
ENSG00000006377	chr7	97005548	97011039	5492	+
ENSG00000006432	chr14	70722526	70809534	87009	-
ENSG00000006451	chr7	39623483	39708124	84642	+
ENSG00000006453	chr7	98291651	98401068	109418	-
ENSG00000006459	chr7	140084746	140177035	92290	-
ENSG00000006468	chr7	13891228	13991425	100198	-
ENSG00000006530	chr7	141551189	141655244	104056	+
ENSG00000006534	chr11	68008578	68029282	20705	+
ENSG00000006555	chr1	54779712	54801267	21556	-
ENSG00000006576	chr7	77798792	77957503	158712	+
ENSG00000006606	chr7	75769533	75789896	20364	-
ENSG00000006607	chr2	241356243	241494841	138599	+
ENSG00000006611	chr11	17493895	17544416	50522	-
ENSG00000006625	chr7	30496621	30504844	8224	-
ENSG00000006634	chr7	87876216	87909541	33326	+
ENSG00000006638	chr19	3594506	3606840	12335	-
ENSG00000006652	chr7	112422968	112481017	58050	+
ENSG00000006659	chr19	39704306	39709444	5139	+
ENSG00000006695	chr17	14069496	14208677	139182	+
ENSG00000006704	chr7	74453790	74602604	148815	+
ENSG00000006712	chr19	39385852	39391195	5344	-
ENSG00000006715	chr7	38722963	38932394	209432	-
ENSG00000006740	chr17	12789539	12991643	202105	+
ENSG00000006744	chr17	12992391	13018187	25797	-
ENSG00000006747	chr7	12570577	12660179	89603	+
ENSG00000006756	chrX	2903970	2929351	25382	-
ENSG00000006757	chrX	7898247	7927739	29493	-
ENSG00000006788	chr17	10298084	10373130	75047	-
ENSG00000006831	chr12	1688574	1788678	100105	+
ENSG00000006837	chr5	134286350	134371047	84698	-
ENSG00000007001	chr2	157876702	158136154	259453	+
ENSG00000007038	chr16	2817180	2826304	9125	+
ENSG00000007047	chr19	45079288	45305283	225996	+
ENSG00000007062	chr4	15963076	16084378	121303	-
ENSG00000007080	chr19	17933016	17943991	10976	+
ENSG00000007129	chr19	41549518	41586844	37327	+
ENSG00000007168	chr17	2593210	2685615	92406	+
ENSG00000007171	chr17	27756766	27800499	43734	-
ENSG00000007174	chr17	11598431	11969748	371318	+
ENSG00000007202	chr17	28614440	28645454	31015	-
ENSG00000007216	chr17	28473293	28497781	24489	+
ENSG00000007237	chr17	9910609	10198551	287943	-
ENSG00000007255	chr19	45162928	45178237	15310	-
ENSG00000007264	chr19	3777970	3802129	24160	-
ENSG00000007306	chr19	41673307	41706976	33670	-
ENSG00000007312	chr17	63928740	63932354	3615	-
ENSG00000007314	chr17	63938554	63972918	34365	-
ENSG00000007341	chr1	112523518	112620825	97308	-
ENSG00000007350	chrX	154295671	154330350	34680	+
ENSG00000007372	chr11	31784792	31817961	33170	-
ENSG00000007376	chr16	784974	788397	3424	-
ENSG00000007384	chr16	58059	76355	18297	-
ENSG00000007392	chr16	188969	229463	40495	-
ENSG00000007402	chr3	50362799	50504244	141446	-
ENSG00000007516	chr16	1333601	1349441	15841	+
ENSG00000007520	chr16	1349240	1351911	2672	-
ENSG00000007541	chr16	566995	584136	17142	+
ENSG00000007545	chr16	1612325	1677908	65584	+
ENSG00000007866	chr6	35473597	35497076	23480	-
ENSG00000007908	chr1	169722641	169764705	42065	-
ENSG00000007923	chr1	6634168	6701924	67757	-
ENSG00000007933	chr1	171090877	171117819	26943	+
ENSG00000007944	chr6	16129125	16148248	19124	+
ENSG00000007952	chrX	100843324	100874345	31022	-
ENSG00000007968	chr1	23506430	23531220	24791	-
ENSG00000008018	chr6	170535117	170553341	18225	-
ENSG00000008056	chrX	47571898	47619853	47956	-
ENSG00000008083	chr6	15246296	15522040	275745	+
ENSG00000008086	chrX	18425583	18653629	228047	+
ENSG00000008118	chr1	209583717	209613938	30222	+
ENSG00000008128	chr1	1702730	1724324	21595	-
ENSG00000008130	chr1	1751232	1780457	29226	-
ENSG00000008196	chr6	50818723	50847613	28891	+
ENSG00000008197	chr6	50713828	50772988	59161	+
ENSG00000008226	chr3	38039205	38124025	84821	+
ENSG00000008256	chr7	6161776	6272644	110869	-
ENSG00000008277	chr7	87934143	88202889	268747	+
ENSG00000008282	chr7	106090503	106112576	22074	-
ENSG00000008283	chr17	63432304	63446378	14075	-
ENSG00000008294	chr17	50962174	51120865	158692	-
ENSG00000008300	chr3	48636469	48662915	26447	-
ENSG00000008311	chr7	122075647	122144280	68634	-
ENSG00000008323	chr12	6310436	6328506	18071	+
ENSG00000008324	chr3	42581840	42595114	13275	+
ENSG00000008382	chr19	4343527	4360086	16560	+
ENSG00000008394	chr12	16347142	16609259	262118	+
ENSG00000008405	chr12	106991364	107093829	102466	-
ENSG00000008438	chr19	46019153	46023065	3913	-
ENSG00000008441	chr19	12995608	13098796	103189	+
ENSG00000008513	chr8	133454848	133571940	117093	-
ENSG00000008516	chr16	3046681	3060726	14046	+
ENSG00000008517	chr16	3065297	3082192	16896	+
ENSG00000008710	chr16	2088710	2135898	47189	-
ENSG00000008735	chr22	50600685	50613981	13297	+
ENSG00000008838	chr17	40019097	40061215	42119	-
ENSG00000008853	chr8	22987417	23020199	32783	+
ENSG00000008869	chr2	36968383	37084342	115960	-
ENSG00000008952	chr3	169966635	169998373	31739	+
ENSG00000008988	chr8	56067295	56074581	7287	-
ENSG00000009307	chr1	114716913	114758676	41764	-
ENSG00000009335	chr7	157138913	157269372	130460	+
ENSG00000009413	chr6	111299028	111483715	184688	-
ENSG00000009694	chrX	124375903	124963817	587915	-
ENSG00000009709	chr1	18631006	18748866	117861	+
ENSG00000009724	chr1	11026523	11047233	20711	-
ENSG00000009765	chr6	150368892	150405969	37078	+
ENSG00000009780	chr1	27725979	27763122	37144	+
ENSG00000009790	chr1	209756032	209782320	26289	+
ENSG00000009830	chr14	77274956	77320884	45929	-
ENSG00000009844	chr6	142147162	142224689	77528	+
ENSG00000009950	chr7	73593194	73624543	31350	-
ENSG00000009954	chr7	73440398	73522278	81881	-
ENSG00000010017	chr6	13621498	13711564	90067	-
ENSG00000010030	chr6	36354091	36387800	33710	-
ENSG00000010072	chr1	231337104	231355023	17920	+
ENSG00000010165	chr1	171781664	171814023	32360	+
ENSG00000010219	chr12	4562204	4615302	53099	+
ENSG00000010244	chr17	32350109	32381886	31778	+
ENSG00000010256	chr3	48599002	48610976	11975	-
ENSG00000010270	chr7	38178222	38230671	52450	+
ENSG00000010278	chr12	6199715	6238271	38557	+
ENSG00000010282	chr3	42692663	42702827	10165	-
ENSG00000010292	chr12	6493356	6531955	38600	+
ENSG00000010295	chr12	6538375	6556083	17709	-
ENSG00000010310	chr19	45668244	45683724	15481	+
ENSG00000010318	chr3	52410657	52423641	12985	+
ENSG00000010319	chr3	52433053	52445085	12033	-
ENSG00000010322	chr3	52455118	52493071	37954	+
ENSG00000010327	chr3	52495338	52524495	29158	+
ENSG00000010361	chr19	49806869	49817376	10508	-
ENSG00000010379	chr12	220621	262873	42253	-
ENSG00000010404	chrX	149476990	149521096	44107	-
ENSG00000010438	chr9	33750466	33799231	48766	+
ENSG00000010539	chr16	3222325	3236221	13897	-
ENSG00000010610	chr12	6786858	6820808	33951	+
ENSG00000010626	chr12	6873569	6914243	40675	+
ENSG00000010671	chrX	101349447	101390796	41350	-
ENSG00000010704	chr6	26087281	26098343	11063	+
ENSG00000010803	chr1	41027200	41242154	214955	-
ENSG00000010810	chr6	111660332	111873452	213121	-
ENSG00000010818	chr6	142751467	142945201	193735	-
ENSG00000010932	chr1	171248471	171285978	37508	+
ENSG00000011007	chr1	23743155	23762059	18905	+
ENSG00000011009	chr1	23790970	23795539	4570	+
ENSG00000011021	chr1	11806096	11843144	37049	+
ENSG00000011028	chr17	62627401	62693597	66197	+
ENSG00000011052	chr17	51153590	51171744	18155	+
ENSG00000011083	chr5	150189957	150222788	32832	+
ENSG00000011105	chr12	3077355	3286564	209210	+
ENSG00000011114	chr14	93237550	93333092	95543	-
ENSG00000011132	chr19	3750819	3761699	10881	-
ENSG00000011143	chr17	58205437	58219605	14169	-
ENSG00000011198	chr3	43690113	43734371	44259	+
ENSG00000011201	chrX	8528874	8732186	203313	-
ENSG00000011243	chr19	15380048	15419141	39094	-
ENSG00000011258	chr17	51177425	51260163	82739	-
ENSG00000011260	chr17	51260528	51297936	37409	+
ENSG00000011275	chr7	5620047	5781739	161693	-
ENSG00000011295	chr17	15999380	16045015	45636	+
ENSG00000011304	chr19	797075	812327	15253	+
ENSG00000011332	chr19	38211006	38229714	18709	-
ENSG00000011347	chr11	61515313	61581148	65836	-
ENSG00000011376	chr3	45388506	45549421	160916	+
ENSG00000011405	chr11	17077730	17207983	130254	-
ENSG00000011422	chr19	43646095	43670547	24453	-
ENSG00000011426	chr7	36389806	36453791	63986	+
ENSG00000011451	chr19	15419980	15449951	29972	-
ENSG00000011454	chr9	122940833	123104866	164034	+
ENSG00000011465	chr12	91140484	91183123	42640	-
ENSG00000011478	chr19	45692483	45703989	11507	+
ENSG00000011485	chr19	46346994	46392981	45988	+
ENSG00000011523	chr2	65056366	65087004	30639	+
ENSG00000011566	chr2	39249266	39437312	188047	-
ENSG00000011590	chr19	35704527	35717038	12512	+
ENSG00000011600	chr19	35904401	35908295	3895	-
ENSG00000011638	chr16	21158377	21180616	22240	+
ENSG00000011677	chrX	152166234	152451358	285125	-
ENSG00000012048	chr17	43044295	43170245	125951	-
ENSG00000012061	chr19	45407333	45478828	71496	-
ENSG00000012124	chr19	35319261	35347355	28095	+
ENSG00000012171	chr3	50267558	50277546	9989	+
ENSG00000012174	chrX	21839636	21885424	45789	+
ENSG00000012211	chrX	49175264	49186528	11265	-
ENSG00000012223	chr3	46435645	46485234	49590	-
ENSG00000012232	chr8	28600469	28755599	155131	+
ENSG00000012504	chr12	100473708	100564413	90706	+
ENSG00000012660	chr6	53267398	53349179	81782	-
ENSG00000012779	chr10	45374176	45446119	71944	+
ENSG00000012817	chrY	19703865	19744939	41075	-
ENSG00000012822	chr12	53708517	53727745	19229	-
ENSG00000012963	chr14	93207056	93229215	22160	+
ENSG00000012983	chr14	50418501	50561126	142626	-
ENSG00000013016	chr2	31234337	31269447	35111	+
ENSG00000013275	chr19	39971005	39981441	10437	+
ENSG00000013288	chr4	6575175	6623362	48188	+
ENSG00000013293	chr3	170459584	170586074	126491	-
ENSG00000013297	chr3	170418865	170860380	441516	+
ENSG00000013306	chr17	44319625	44324870	5246	-
ENSG00000013364	chr16	29820394	29848039	27646	+
ENSG00000013374	chr7	151341699	151378449	36751	+
ENSG00000013375	chr6	83161150	83193936	32787	-
ENSG00000013392	chr6	83193379	83198932	5554	+
ENSG00000013441	chr2	200853009	200864744	11736	-
ENSG00000013503	chr12	106357658	106510198	152541	+
ENSG00000013523	chr14	76786178	76826246	40069	-
ENSG00000013561	chr5	141958328	141990291	31964	+
ENSG00000013563	chrX	154401238	154412112	10875	-
ENSG00000013573	chr12	31073845	31104791	30947	+
ENSG00000013583	chr12	12974864	13000273	25410	-
ENSG00000013588	chr12	12890782	12917937	27156	+
ENSG00000013619	chrX	150361422	150514178	152757	+
ENSG00000013725	chr11	60971680	61020377	48698	+
ENSG00000013810	chr4	1721490	1745176	23687	+
